artist_name,track_name,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,loudness_transform
Powderfinger,My Happiness,65,2000,0.445,0.823,0,-5.415,1,0.0302,0.00163,0.0,0.43,0.487,85.935,4,4.61045,-2.0855478601115967
Jonas Brothers,Year 3000,67,2000,0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,4,3.366,-2.1381820367024362
Coldplay,Yellow,86,2000,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4,4.4462166666666665,-2.2885875833501923
Busted,Year 3000,65,2000,0.592,0.842,11,-6.681,1,0.0353,0.000219,0.0,0.0934,0.898,107.015,4,3.27,-2.2316260040535516
Eminem,The Real Slim Shady,85,2000,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,4,4.736666666666666,-1.9283279120100745
Busted,Year 3000 - Live,24,2000,0.539,0.988,11,-5.381,1,0.0675,0.00444,1.72e-06,0.895,0.725,107.015,4,3.92,-2.081314786061516
Outkast,Ms. Jackson,81,2000,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,4,4.50845,-2.149433913499871
King Gizzard & The Lizard Wizard,2.02 Killer Year,46,2000,0.735,0.814,1,-7.085,0,0.0356,0.41,0.84,0.115,0.936,137.394,4,3.324,-2.2740827325213333
3 Doors Down,Kryptonite,79,2000,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4,3.8988833333333335,-2.121302995774754
Jonas Brothers,Year 3000,25,2000,0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,4,3.366,-2.1381820367024362
Toploader,Dancing in the Moonlight,75,2000,0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397,4,3.878216666666667,-1.8077968469256789
McBusted,Year 3000 - Live At The Royal Albert Hall,24,2000,0.467,0.97,11,-3.081,1,0.143,0.0107,0.0,0.894,0.382,106.978,4,3.6662666666666666,-1.743094297246774
Linkin Park,In the End,83,2000,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,4,3.6146666666666665,-2.1405366410396467
Jonas Brothers,Year 3000,38,2000,0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,4,3.366,-2.1381820367024362
Shaggy,It Wasn't Me,77,2000,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,4,3.7933333333333334,-1.9782390361706734
Busted,Year 3000,29,2000,0.57,0.77,11,-8.431,1,0.0471,0.0006,0.0,0.0831,0.832,107.013,4,3.2731166666666667,-2.403786973503013
Nelly,Ride Wit Me,75,2000,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,4,4.863033333333333,-2.2109083044221416
Jonas Brothers,Year 3000,20,2000,0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,4,3.366,-2.1381820367024362
